%*****************************
%          -----------------------
%********* PECs Fe XV .threshold 1.e4
%          -----------------------
1)Emissivity for levels 2<-11 (s1p10100<-s1d10102) Wavelength 224.7540 (A)
  n_e	                      T_e  (eV) 
224.76        50       100       150       200       250       350       450       550
1.0e12	    2.68e+01  3.75e+01  3.89e+01  3.80e+01  3.67e+01  3.42e+01  3.20e+01  3.01e+01
3.0e12	    8.08e+01  1.13e+02  1.17e+02  1.14e+02  1.10e+02  1.03e+02  9.63e+01 9.07e+01
6.0e12	    1.62e+02  2.26e+02  2.34e+02  2.29e+02  2.21e+02  2.06e+02  1.93e+02  1.82e+02
1.0e13	    2.70e+02  3.78e+02  3.92e+02  3.82e+02  3.69e+02  3.44e+02  3.22e+02  3.03e+02
3.0e13	    8.18e+02  1.14e+03  1.18e+03  1.16e+03  1.12e+03  1.04e+03  9.73e+02  9.16e+02
6.0e13	    1.66e+03  2.32e+03  2.40e+03  2.34e+03  2.26e+03  2.10e+03  1.97e+03  1.85e+03
1.0e14	    2.81e+03  3.93e+03  4.07e+03  3.97e+03  3.83e+03  3.56e+03  3.32e+03  3.13e+03
3.0e14	    9.12e+03  1.28e+04  1.32e+04  1.28e+04  1.24e+04  1.14e+04  1.07e+04  1.00e+04
2)Emissivity for levels 3<-12 (s1p10102<-s1d10104) Wavelength 227.2080 (A)
  n_e	                        T_e  (eV)
227.208           50       100       150       200       250       350    450       550
1.0e12	     3.80e+01  5.64e+01  5.96e+01  5.89e+01  5.72e+01  5.39e+01 5.08e+01  4.82e+01
3.0e12	     1.14e+02  1.70e+02  1.80e+02  1.77e+02  1.72e+02  1.62e+02 1.53e+02  1.45e+02
6.0e12	     2.30e+02  3.40e+02  3.60e+02  3.55e+02  3.45e+02  3.25e+02 3.07e+02  2.91e+02
1.0e13	     3.84e+02  5.69e+02  6.01e+02  5.94e+02  5.77e+02  5.43e+02 5.12e+02  4.86e+02
3.0e13	     1.17e+03  1.73e+03  1.83e+03  1.80e+03  1.75e+03  1.65e+03 1.55e+03  1.47e+03
6.0e13	     2.38e+03  3.53e+03  3.72e+03  3.67e+03  3.56e+03  3.35e+03 3.15e+03  2.99e+03
1.0e14	     4.08e+03  6.03e+03  6.35e+03  6.26e+03  6.07e+03  5.69e+03 5.36e+03  5.08e+03
3.0e14	     1.38e+04  2.03e+04  2.13e+04  2.09e+04  2.02e+04  1.88e+04 1.76e+04  1.66e+04
3) Emissivity for levels 3<-11 (s1p10102<-s1d10102) Wavelength 227.7320 (A)
  n_e	                       T_e  (eV) 
227.70      50       100       150       200       250       350       450       550
1.0e12	    1.92e+01  2.69e+01  2.79e+01  2.72e+01  2.63e+01  2.45e+01  2.29e+01  2.16e+01
3.0e12	    5.79e+01  8.10e+01  8.39e+01  8.19e+01  7.91e+01  7.38e+01  6.90e+01  6.50e+01
6.0e12	    1.16e+02  1.62e+02  1.68e+02  1.64e+02  1.59e+02  1.48e+02  1.38e+02  1.30e+02
1.0e13	    1.94e+02  2.71e+02  2.81e+02  2.74e+02  2.65e+02  2.47e+02  2.31e+02  2.17e+02
3.0e13	    5.86e+02  8.20e+02  8.50e+02  8.29e+02  8.01e+02  7.46e+02  6.98e+02  6.57e+02
6.0e13	    1.19e+03  1.66e+03  1.72e+03  1.68e+03  1.62e+03  1.51e+03  1.41e+03  1.33e+03
1.0e14	    2.01e+03  2.82e+03  2.92e+03  2.84e+03  2.74e+03  2.55e+03  2.38e+03  2.24e+03
3.0e14	    6.54e+03  9.16e+03  9.45e+03  9.20e+03  8.85e+03  8.20e+03  7.65e+03  7.18e+03
4)Emissivity for levels 4<-13 (s1p10004<-s1d10006) Wavelength 233.8660 (A)
  n_e	                        T_e  (eV)
233.857           50       100       150       200       250       350450       550
1.0e12	     1.57e+02  2.20e+02  2.27e+02  2.21e+02  2.12e+02  1.95e+02	1.80e+02  1.68e+02
3.0e12	     4.74e+02  6.63e+02  6.85e+02  6.67e+02  6.40e+02  5.89e+02	5.44e+02  5.08e+02
6.0e12	     9.50e+02  1.33e+03  1.37e+03  1.34e+03  1.28e+03  1.18e+03	1.09e+03  1.02e+03
1.0e13	     1.59e+03  2.22e+03  2.29e+03  2.23e+03  2.14e+03  1.97e+03	1.82e+03  1.70e+03
3.0e13	     4.78e+03  6.69e+03  6.91e+03  6.73e+03  6.46e+03  5.94e+03	5.49e+03  5.12e+03
6.0e13	     9.64e+03  1.35e+04  1.39e+04  1.36e+04  1.30e+04  1.20e+04	1.10e+04  1.03e+04
1.0e14	     1.62e+04  2.27e+04  2.34e+04  2.28e+04  2.19e+04  2.01e+04	1.86e+04  1.73e+04
3.0e14	     5.10e+04  7.14e+04  7.35e+04  7.15e+04  6.85e+04  6.28e+04	5.80e+04  5.41e+04
5)Emissivity for levels 5<-14 (s1p10002<-s1d10004) Wavelength 243.7940 (A)
  n_e	                        T_e  (eV)
243.794           50       100       150       200       250       350	450       550
1.0e12	     5.12e+02  9.38e+02  1.09e+03  1.14e+03  1.16e+03  1.15e+03	1.12e+03  1.08e+03
3.0e12	     1.54e+03  2.81e+03  3.27e+03  3.43e+03  3.48e+03  3.44e+03	3.34e+03  3.24e+03
6.0e12	     3.07e+03  5.63e+03  6.53e+03  6.86e+03  6.96e+03  6.88e+03	6.69e+03  6.47e+03
1.0e13	     5.12e+03  9.38e+03  1.09e+04  1.14e+04  1.16e+04  1.15e+04	1.11e+04  1.08e+04
3.0e13	     1.54e+04  2.81e+04  3.26e+04  3.43e+04  3.48e+04  3.44e+04	3.34e+04  3.23e+04
6.0e13	     3.07e+04  5.62e+04  6.52e+04  6.85e+04  6.95e+04  6.87e+04	6.68e+04  6.46e+04
1.0e14	     5.11e+04  9.35e+04  1.09e+05  1.14e+05  1.16e+05  1.14e+05	1.11e+05  1.08e+05
3.0e14	     1.53e+05  2.79e+05  3.24e+05  3.41e+05  3.46e+05  3.42e+05	3.32e+05  3.22e+05
6)Emissivity for levels 1<-5 (g3s20000<-s1p10002) Wavelength 284.1630 (A)
  n_e	                        T_e  (eV)
284.163           50       100       150       200       250       350		450       550
1.0e12	     1.62e+04  1.92e+04  1.91e+04  1.86e+04  1.81e+04  1.71e+04	1.63e+04  1.56e+04
3.0e12	     4.86e+04  5.75e+04  5.73e+04  5.59e+04  5.43e+04  5.13e+04	4.90e+04  4.69e+04
6.0e12	     9.71e+04  1.15e+05  1.15e+05  1.12e+05  1.08e+05  1.03e+05	9.79e+04  9.37e+04
1.0e13	     1.62e+05  1.92e+05  1.91e+05  1.86e+05  1.81e+05  1.71e+05	1.63e+05  1.56e+05
3.0e13	     4.85e+05  5.74e+05  5.73e+05  5.59e+05  5.42e+05  5.12e+05	4.89e+05  4.68e+05
6.0e13	     9.70e+05  1.15e+06  1.14e+06  1.12e+06  1.08e+06  1.02e+06	9.78e+05  9.36e+05
1.0e14	     1.61e+06  1.91e+06  1.90e+06  1.86e+06  1.80e+06  1.70e+06	1.63e+06  1.56e+06
3.0e14	     4.82e+06  5.70e+06  5.68e+06  5.55e+06  5.39e+06  5.09e+06	4.86e+06  4.66e+06
7)Emissivity for levels 3<-8 (s1p10102<-x3p20104) Wavelength 292.2750 (A)
  n_e	                        T_e  (eV)
292.275           50       100       150       200       250       350 450       550
1.0e12	     4.75e+01  5.48e+01  5.28e+01  4.95e+01  4.65e+01  4.16e+01	3.80e+01  3.51e+01
3.0e12	     1.44e+02  1.66e+02  1.60e+02  1.50e+02  1.40e+02  1.26e+02	1.15e+02  1.06e+02
6.0e12	     2.88e+02  3.32e+02  3.20e+02  3.00e+02  2.82e+02  2.53e+02	2.31e+02  2.13e+02
1.0e13	     4.82e+02  5.55e+02  5.35e+02  5.02e+02  4.71e+02  4.22e+02	3.86e+02  3.57e+02
3.0e13	     1.46e+03  1.68e+03  1.62e+03  1.52e+03  1.43e+03  1.28e+03	1.17e+03  1.08e+03
6.0e13	     2.96e+03  3.42e+03  3.29e+03  3.08e+03  2.89e+03  2.59e+03	2.37e+03  2.19e+03
1.0e14	     5.03e+03  5.81e+03  5.59e+03  5.24e+03  4.91e+03  4.40e+03	4.01e+03  3.70e+03
3.0e14	     1.64e+04  1.91e+04  1.83e+04  1.71e+04  1.60e+04  1.43e+04	1.30e+04  1.20e+04
8)Emissivity for levels 2<-7 (s1p10100<-x3p20102) Wavelength 302.3340 (A)
  n_e	                        T_e  (eV)
302.334           50       100       150       200       250       350	450       550
1.0e12	     4.15e+01  4.66e+01  4.45e+01  4.16e+01  3.90e+01  3.50e+01	3.20e+01  2.96e+01
3.0e12	     1.25e+02  1.41e+02  1.34e+02  1.26e+02  1.18e+02  1.06e+02	9.66e+01  8.93e+01
6.0e12	     2.51e+02  2.82e+02  2.70e+02  2.52e+02  2.36e+02  2.12e+02	1.94e+02  1.79e+02
1.0e13	     4.20e+02  4.72e+02  4.50e+02  4.21e+02  3.95e+02  3.54e+02	3.24e+02  2.99e+02
